number,value,datetime_start,datetime_complete,duration,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
63,0.31979316111242867,2026-05-25 17:55:17.320117,2026-05-25 17:56:45.229001,0 days 00:01:27.908884,256,5,0.0007555344081848636,80,87.8027872319999,1.0,1.0,COMPLETE
64,0.2814803955670216,2026-05-25 17:56:45.248129,2026-05-25 17:57:11.981924,0 days 00:00:26.733795,384,5,0.0012492788588344753,24,26.61527331499974,1.0,1.0,COMPLETE
65,0.3432756287340818,2026-05-25 17:57:12.000966,2026-05-25 17:57:35.131603,0 days 00:00:23.130637,384,4,0.0008702155517587036,24,23.025419220000003,1.0,1.0,COMPLETE
66,0.320530786301656,2026-05-25 17:57:35.149160,2026-05-25 17:57:58.495507,0 days 00:00:23.346347,384,5,0.0013461128226406863,24,23.240142254000148,1.0,1.0,COMPLETE
67,0.3093923602610499,2026-05-25 17:57:58.514226,2026-05-25 17:58:33.144957,0 days 00:00:34.630731,384,4,0.0013692459022979907,80,34.523237792000145,1.0,1.0,COMPLETE
68,0.3472665507314967,2026-05-25 17:58:33.161648,2026-05-25 17:59:23.375139,0 days 00:00:50.213491,128,3,0.0024187678307141707,48,50.106689349000135,1.0,1.0,COMPLETE
69,0.6529474818349282,2026-05-25 17:59:23.393444,2026-05-25 17:59:44.291180,0 days 00:00:20.897736,384,5,0.0007103780162936831,24,20.77746090399978,1.0,1.0,COMPLETE
70,0.3090343686018469,2026-05-25 17:59:44.310540,2026-05-25 18:00:21.437542,0 days 00:00:37.127002,384,5,0.001627810072302596,80,37.01346016100024,1.0,1.0,COMPLETE
71,0.35309299963236446,2026-05-25 18:00:21.455796,2026-05-25 18:00:42.207277,0 days 00:00:20.751481,384,5,0.0007509458210268179,32,20.63606606600024,1.0,1.0,COMPLETE
72,0.30203814347889024,2026-05-25 18:00:42.223693,2026-05-25 18:02:31.570290,0 days 00:01:49.346597,128,5,0.0024049872277054772,32,109.14673464199996,1.0,1.0,COMPLETE
73,0.35296406976150035,2026-05-25 18:02:31.588463,2026-05-25 18:02:49.567567,0 days 00:00:17.979104,128,4,0.0019087310328981474,24,17.865858232999926,1.0,1.0,COMPLETE
74,0.32097237057097394,2026-05-25 18:02:49.586781,2026-05-25 18:04:10.301177,0 days 00:01:20.714396,128,4,0.0016717156938089036,64,80.59755280700028,1.0,1.0,COMPLETE
75,0.33055952106071457,2026-05-25 18:04:10.322216,2026-05-25 18:04:22.934189,0 days 00:00:12.611973,384,2,0.002802945892835115,24,12.508777252000073,1.0,1.0,COMPLETE
76,0.3287072911432581,2026-05-25 18:04:22.951106,2026-05-25 18:04:52.047140,0 days 00:00:29.096034,384,5,0.0019704618764939557,24,27.798185146999913,1.0,1.0,COMPLETE
77,0.31848945121854,2026-05-25 18:04:52.064260,2026-05-25 18:05:53.000542,0 days 00:01:00.936282,256,4,0.0009658109678942512,64,60.82471699200005,1.0,1.0,COMPLETE
