number,value,datetime_start,datetime_complete,duration,params_adaptive_beta,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
38,0.16400362022730144,2026-05-25 03:21:40.608456,2026-05-25 03:23:36.171931,0 days 00:01:55.563475,0.8242543567898604,128,5,0.0005540680290278758,32,115.42389981099404,568.0041756859332,58.985633109867166,COMPLETE
39,0.10425404461331036,2026-05-25 03:23:36.196966,2026-05-25 03:23:59.817757,0 days 00:00:23.620791,0.9644551044956623,384,4,0.0029201049192716117,32,23.47954712199862,29524.915554744686,13205.129337528437,COMPLETE
40,0.09440819445293387,2026-05-25 03:23:59.850157,2026-05-25 03:24:18.085761,0 days 00:00:18.235604,0.9476765427872444,384,3,0.0023561807315811045,32,18.099917689003632,347.6299320254789,214.88605570216393,COMPLETE
41,0.09898244684914888,2026-05-25 03:24:18.113613,2026-05-25 03:24:37.424351,0 days 00:00:19.310738,0.9611879558908327,384,3,0.0027866178013365973,32,19.1698305769969,723.6623937556925,489.364406274522,COMPLETE
42,0.12762636200004468,2026-05-25 03:24:37.448803,2026-05-25 03:24:55.744828,0 days 00:00:18.296025,0.9424617790879317,384,3,0.0025748146400138856,32,18.161261750006815,377.13957939990564,96.89277341733613,COMPLETE
43,0.16370705637061547,2026-05-25 03:24:55.765600,2026-05-25 03:25:13.026930,0 days 00:00:17.261330,0.9304506256789855,384,3,0.00274651317858766,24,17.12528522699722,278.9965184732843,10.397898709499927,COMPLETE
44,0.16074559519528353,2026-05-25 03:25:13.048422,2026-05-25 03:25:27.811236,0 days 00:00:14.762814,0.9621741474913225,384,2,0.001987456560261338,32,14.636257115009357,238.22819739172905,17.838868558393933,COMPLETE
45,0.15514356390600822,2026-05-25 03:25:27.833561,2026-05-25 03:26:16.567607,0 days 00:00:48.734046,0.9499294035512679,256,3,0.001883641685087523,32,48.59287608500745,801.330024473225,59.608173102453755,COMPLETE
46,0.1300643492787648,2026-05-25 03:26:16.590855,2026-05-25 03:26:41.897692,0 days 00:00:25.306837,0.9443611904358762,384,4,0.0025227975266984386,32,25.167481957003474,572.2656695414726,154.43449662280133,COMPLETE
47,0.06943595870375488,2026-05-25 03:26:41.920774,2026-05-25 03:27:07.974430,0 days 00:00:26.053656,0.9407974705170778,384,4,0.002669243361198872,32,25.91367263000575,40620.22035968425,23604.063068265692,COMPLETE
48,0.10045721749463074,2026-05-25 03:27:08.004217,2026-05-25 03:28:03.799135,0 days 00:00:55.794918,0.9553559258696498,128,3,0.0016936924939868726,64,55.657432656997116,994.0224429710589,679.4259644956214,COMPLETE
49,0.08150794527045056,2026-05-25 03:28:03.821642,2026-05-25 03:29:00.847002,0 days 00:00:57.025360,0.9474051700721603,128,3,0.002402503845822779,64,56.887693818993284,10027.799068331695,5125.265005137716,COMPLETE
50,0.09954594309326766,2026-05-25 03:29:00.868500,2026-05-25 03:29:54.270426,0 days 00:00:53.401926,0.9546572996164222,128,3,0.002332378637480582,48,53.203376866003964,2051.882273844136,999.4400722328088,COMPLETE
51,0.16299770142988704,2026-05-25 03:29:54.292275,2026-05-25 03:30:36.630909,0 days 00:00:42.338634,0.9642035857673809,128,2,0.0017036213401490819,64,42.212684676997014,435.1245980501087,40.14148259712345,COMPLETE
52,0.20450771246095878,2026-05-25 03:30:36.652766,2026-05-25 03:31:33.793910,0 days 00:00:57.141144,0.9604439406694504,128,3,0.0010618030507839346,48,57.012628810000024,268.7648016823943,47.66620109191302,COMPLETE
53,0.10481119872871357,2026-05-25 03:31:33.815858,2026-05-25 03:32:35.977105,0 days 00:01:02.161247,0.9272918640973815,128,3,0.0026178725320693927,64,62.02347187999112,24869.251142173478,18056.484159895645,COMPLETE
54,0.2135925410956746,2026-05-25 03:32:36.001115,2026-05-25 03:33:41.250047,0 days 00:01:05.248932,0.9562046814919294,128,3,0.002789390037747631,48,65.10937897600525,3806.3689890601263,2930.6908450246347,COMPLETE
55,0.17557222195460928,2026-05-25 03:33:41.273952,2026-05-25 03:34:49.121333,0 days 00:01:07.847381,0.9324216418805962,128,3,0.0005592626555715509,64,67.70682134199888,1010.8837770666464,59.91879952213599,COMPLETE
56,0.14318143970532696,2026-05-25 03:34:49.143202,2026-05-25 03:35:15.470039,0 days 00:00:26.326837,0.923597414482408,384,3,0.0013882950480523899,64,26.185899397998583,539.5048864686532,70.55862113055045,COMPLETE
57,0.21414957976577503,2026-05-25 03:35:15.492145,2026-05-25 03:36:55.853061,0 days 00:01:40.360916,0.9461784314421199,128,4,0.0022943432877938577,80,100.22383051899669,82692.15641569084,26584.200092415027,COMPLETE
58,0.15113886125421527,2026-05-25 03:36:55.876767,2026-05-25 03:38:02.143084,0 days 00:01:06.266317,0.9615128209134034,128,3,0.0019910876130038286,32,66.06671860099596,335.2923509408658,40.10092841592592,COMPLETE
59,0.15959850072206025,2026-05-25 03:38:02.163457,2026-05-25 03:38:17.289703,0 days 00:00:15.126246,0.8760835345451913,128,2,0.002093334334850072,24,14.997329221005202,211.79831504006393,20.668781104974435,COMPLETE
60,0.32973663367786704,2026-05-25 03:38:17.312957,2026-05-25 03:40:03.735186,0 days 00:01:46.422229,0.9571305207081835,128,4,0.0019897301681827584,64,106.21565843099961,15957.443451294914,9052.887893681785,COMPLETE
61,0.1578515063791246,2026-05-25 03:40:03.756319,2026-05-25 03:40:26.990655,0 days 00:00:23.234336,0.9674086982711617,384,3,0.0022964711567292867,48,23.093510869002785,812.9943966607788,304.108705801757,COMPLETE
62,0.17393374470363823,2026-05-25 03:40:27.013670,2026-05-25 03:40:51.415399,0 days 00:00:24.401729,0.8918018238228465,384,3,0.0011711727245561066,32,24.26343762400211,700.349263788027,18.31419790901542,COMPLETE
63,0.16414078786653238,2026-05-25 03:40:51.439785,2026-05-25 03:41:27.967778,0 days 00:00:36.527993,0.8958831567715667,256,2,0.0021875221974606202,64,36.392322496001725,212.28998601311199,12.767647689261649,COMPLETE
64,0.18178889824288103,2026-05-25 03:41:27.992210,2026-05-25 03:41:54.403601,0 days 00:00:26.411391,0.8555700380478912,384,4,0.0026354846769579368,32,26.27412932200241,339010.71585349785,236435.5269030119,COMPLETE
65,0.16810186330267896,2026-05-25 03:41:54.423644,2026-05-25 03:42:13.293709,0 days 00:00:18.870065,0.9047876821937038,384,2,0.0013438866198954246,80,18.75195082000573,552.6983794153603,31.952893978793945,COMPLETE
66,0.27940911615348846,2026-05-25 03:42:13.314777,2026-05-25 03:42:39.460767,0 days 00:00:26.145990,0.9475558209312678,384,4,0.0028086613315602845,64,26.004985727995518,100695.1713354093,61688.34939083256,COMPLETE
67,0.06622895218610644,2026-05-25 03:42:39.482952,2026-05-25 03:43:12.877639,0 days 00:00:33.394687,0.9407426131297765,384,4,0.0013934343775856178,80,33.24836950401368,8706.873072652972,3428.9475634353907,COMPLETE
68,0.14213481580150578,2026-05-25 03:43:12.910568,2026-05-25 03:43:48.461967,0 days 00:00:35.551399,0.9205637951036607,384,4,0.0014125879078551505,80,35.41081212399877,130936.85395256868,92017.98063475658,COMPLETE
69,0.24777111552094605,2026-05-25 03:43:48.486714,2026-05-25 03:45:07.718937,0 days 00:01:19.232223,0.9251681042283316,256,4,0.002917169098542268,48,79.02048685500631,213791.96558357845,112583.99714105783,COMPLETE
